pos_rank,file,time
1,1990.txt,0 days 00:00:00.402758000
5,2059.txt,0 days 00:00:00.176303000
1,2088.txt,0 days 00:00:00.275812000
1,1508.txt,0 days 00:00:00.268685000
1,2202.txt,0 days 00:00:00.379360000
36,1803.txt,0 days 00:00:00.216168000
1,2030.txt,0 days 00:00:00.603640000
1,1638.txt,0 days 00:00:00.359488000
3,1610.txt,0 days 00:00:00.386645000
1,2187.txt,0 days 00:00:00.429391000
2,1795.txt,0 days 00:00:00.403108000
1,1668.txt,0 days 00:00:00.315541000
1,1578.txt,0 days 00:00:00.482852000
1,1509.txt,0 days 00:00:00.196857000
1,1862.txt,0 days 00:00:00.378221000
1,2022.txt,0 days 00:00:00.463089000
1,1931.txt,0 days 00:00:00.483500000
